State,2013,2014,2015,2016,2017,,,,,,,
Andhra Pradesh,86.8,88.4,89.6,91.1,92.18,,,,,,,
Arunachal Pradesh,1.38,1.42,1.49,1.57,1.633,,,,,,,
Assam,31.86,32.28,33.4,33.9,34.492,,,50.3,51.2,51.9,52.5,53.06
Bihar,106,107,107.5,108.1,108.92,,,36.5,37.2,37.7,38.6,39.12
Chhattisgarh,26.7,27,27.9,28.2,28.84 ,,,0.6222,0.627,0.635,0.648,0.6538
Goa,1.88,2.3, 2.68,2.89,3.1046 ,,,,,,,
Gujarat,62.7,63.9,65.2,66.1,67.16,,,,,,,
Haryana,26.1,26.5 ,26.9 ,27.6,27.96,,,,,,,
Himachal Pradesh,6.92,7.1, 7.34,7.5,7.6288,,,,,,,
Jammu and Kashmir,13.1,13.3, 13.6,13.9,14.12 ,,,,,,,
Jharkhand,34.5,34.8,35.2,35.7,36.06,,,,,,,
Karnataka,62.8,64.06, 65.8,66,66.8 ,,,,,,,
Kerala,35.2,35.7,36,36.6,36.96 ,,,,,,,
Madhya Pradesh,74.7,75.9,76.4, 77.9,78.812,,,,,,,
Maharashtra,117,118.3,118.7,119.6,120.68,,,,,,,
Manipur,2.88, 2.90,2.94,2.97,3.21,,,,,,,
Meghalaya,3.14,3.23,3.32,3.40 ,3.47,,,,,,,
Mizoram,1.14,1.16,1.19,1.25,1.51,,,,,,,
Nagaland,2.7,2.86,2.92, 2.98,3.121,,,,,,,
Orissa,43.1,43.7,44.3,44.9,45.34,,,,,,,
Punjab,28.4,28.7,29.1,29.6,29.924,,,,,,,
Rajasthan,71.08,71.69,72.92,74.79,74.888,,,,,,,
Sikkim,0.6222,0.627,0.635,0.648,0.6538,,,,,,,
Tamil Nadu,74.3,75.4, 76.6,77.8,79.788,,,,,,,
Tripura,3.79, 3.84,3.88,3.94,4.42,,,,,,,
Uttar Pradesh,208.1,212.6,215.6,218.4,219.24,,,,,,,
Uttaranchal,10.14,10.17,10.22,10.28 ,10.32,,,,,,,
West Bengal,93,93.7,94.1,94.9,95.416,,,,,,,
